CANDIDATO,NÚMERO,PARTIDO,VOTOS
Marcia Nunes,55500,PSD,518
Ygurey,17255,PSL,518
Elisabeth Amorim,40121,PSB,516
Borges,22157,PL,514
Podóloga Val Dutra,19627,PODE,514
Paulo China,14800,PTB,514
Vera Andreoli,25717,DEM,511
Ane Sollar,40140,PSB,510
Osvaldo Meneses,22322,PL,509
Cláudio Grillo,10666,REPUBLICANOS,508
Irmão Duda,20444,PSC,508
Zé Do Bode,17888,PSL,507
Valdo Da Comunidade,43330,PV,505
Dr. Adê,43743,PV,504
Luciano D'annibale,14555,PTB,503
Bruna Lee,15300,MDB,502
Maradona,15258,MDB,499
Lucelio,14001,PTB,497
Néia Do Bairro,14523,PTB,497
Wilson Mello,30422,NOVO,496
Janete Camargo,19270,PODE,495
Prof Pedro Bernardes,50800,PSOL,495
Daniela Bruzarrosco,22888,PL,493
Maurício Macedo,55789,PSD,492
Holancio Fernandes,10133,REPUBLICANOS,491
Dr Zito,15151,MDB,487
Sabrina Marques,11181,PP,485
Papai Noel Toninho Gusman,14025,PTB,484
Tião Arantes,11211,PP,484
Francisco Pessoa,40888,PSB,484
Vera Tomaz De Lima,15656,MDB,483
Andre Alves,13064,PT,483
Professor Grego,10140,REPUBLICANOS,480
Leandro Lembo,14193,PTB,480
Jean Campos,22130,PL,476
Neidoca De Heliópolis,25116,DEM,475
Rosivaldo Moreira,50444,PSOL,474
Luciana De Jesus,14200,PTB,472
Julio Cesar Piruka,43210,PV,471
Carolina Agnello,45188,PSDB,471
Clovis Costa,50150,PSOL,470
Lelo,43430,PV,469
Patrícia Penna,43888,PV,468
Gilberto Souzza,30111,NOVO,468
Bahea,15200,MDB,466
Claire Barbagallo,45445,PSDB,465
Odilia Souza,20316,PSC,465
Kelly Do Basquete,14015,PTB,464
Vanice Camargo,19755,PODE,461
Major Ventura,14190,PTB,461
Simone Costa,17524,PSL,460
Zezé Nogueira,45054,PSDB,459
Cezinha Do Transporte,10023,REPUBLICANOS,459
Pardal Consulado,15190,MDB,458
Marcilio,45459,PSDB,456
Fátima Aguiar,14053,PTB,454
Márcio Pereira,43011,PV,454
Ana Lazarim,25014,DEM,451
Mayara Tavares,51101,PATRIOTA,451
Waldir Tiveron,17374,PSL,450
Denilson Ribeiro,55900,PSD,450
Iolanda Ruas,55333,PSD,446
Carlos Januario,13450,PT,445
Priscila Anupan,50990,PSOL,445
Caetano Do Forró,20321,PSC,445
Delegado Marçal Honda,15315,MDB,443
Marcus Paixão,30050,NOVO,439
Netinho Josué,22155,PL,437
Gabrielle Brandão,14440,PTB,436
Vanderlei Adega,22160,PL,435
Renato Candido Cineasta,13310,PT,435
Emerson Zocchi,17051,PSL,433
Helio Ramos,10003,REPUBLICANOS,433
Gil Rodrigues,20077,PSC,433
Edson Almeida,17377,PSL,430
Lele Rampazzo,55151,PSD,429
Ricardo Capuchinho,45170,PSDB,425
Conceição Moreira,45033,PSDB,418
Biel Oliveira,40321,PSB,416
Ricardo Rei,10522,REPUBLICANOS,415
Sebastião Dantas,15120,MDB,415
Bryan Coelho,14569,PTB,415
Fabiola Chaguri,20100,PSC,414
Sergio Gim,15130,MDB,414
Professora Teresa Cristina,11156,PP,412
Fabricio Artur,30004,NOVO,412
Mateus Rodrigues,13555,PT,411
Maristela Trindade,20038,PSC,408
Fabiano Gurgel,40277,PSB,408
Roberto Henrique,43456,PV,407
Adão Nascimento,10004,REPUBLICANOS,406
Tenente Breno Freire,17707,PSL,404
Adail Leite,22210,PL,403
Dorinha Alves,43007,PV,398
Lu Senna Vieira,50220,PSOL,391
Adeilton Almeida,15023,MDB,389
Bombeiro Costa,15193,MDB,388
Toninho Adb,22261,PL,387
Dani Barretto,15999,MDB,386
Aloisio Silva,43002,PV,381
Risoleta Estrela,14050,PTB,380
Silvia Nogueira,50433,PSOL,379
Professora Maria Martins,45700,PSDB,378
Lurdinha,51900,PATRIOTA,377
Arlindo Barbosa,40023,PSB,377
Arlindo,40300,PSB,377
Airton Barbosa,20456,PSC,376
Xerife Animal,17400,PSL,376
Rocha,15003,MDB,374
Marcos Da Farmácia,22020,PL,374
Regina Pedroso,43600,PV,374
Juliany Reis,45800,PSDB,374
Silva Da Imobiliaria,20234,PSC,373
Jpds Estrada Da Vida,22064,PL,372
Célia Nair,13422,PT,372
Osvaldo Gomes,15060,MDB,371
Adilson Pereirão,22026,PL,370
Wilson Primo,14003,PTB,369
Julio Clímaco,50211,PSOL,368
Zenil Baixinho Da Estação,40133,PSB,368
Cicero Menezes,20900,PSC,367
Professora Neusa,19079,PODE,366
Sandra Camillo,45577,PSDB,366
Fernando Negretti,15600,MDB,364
Otacilio Pinheiro,19002,PODE,363
Luizinho Do Nhocuné,40177,PSB,361
Marcinho,19919,PODE,361
Apostolo Gerson Bentes,20020,PSC,360
Valdemir Braga,13780,PT,359
Jadir Porto,14763,PTB,355
Dra Aline Parrado,40202,PSB,355
Gilmara Vanzo,11117,PP,355
Patrícia França,43123,PV,355
Contador Baracho,20040,PSC,354
Welison Santos,40018,PSB,352
Ricardo Custódio,17678,PSL,351
Sandra Pedrosa,17567,PSL,350
Renato Assad,50011,PSOL,350
Chrystyan Gomes,50369,PSOL,349
Junior Pinheiro,11123,PP,347
Selmer,43643,PV,344
Professor Elias Mascena,50344,PSOL,343
Raimundo Lemos,13199,PT,342
Alê Fasano,30007,NOVO,338
Shirlei Moura,40221,PSB,337
Creuza Cruz,20250,PSC,335
Rose Aleixo,13713,PT,334
Psicologa Isabel Paegle,40633,PSB,333
Professora Estelita,13200,PT,333
Inara Mel,19120,PODE,333
Alexandre Montoro,15888,MDB,332
André Do Povo,13666,PT,332
Preta,14008,PTB,331
Artur Neto,51369,PATRIOTA,331
Professora Meire Balarin,43200,PV,330
Vevéta,17434,PSL,327
Julia Barbuio,40008,PSB,326
Madalena De Laura,20300,PSC,326
Dona Jura,43440,PV,325
Leandro Cussolini,22146,PL,324
Ammie Graves,45125,PSDB,324
Angela Alves,50091,PSOL,323
Gleby,43313,PV,322
Messias Da Oficina,22230,PL,321
Patrícia Mota,51823,PATRIOTA,321
Chagas,22060,PL,319
Prof Cassio Fonseca,14321,PTB,319
Almeida Macarrão,10153,REPUBLICANOS,319
Gil Freire,13038,PT,319
Leonardo Grandini,55100,PSD,319
Cris Bernart,51001,PATRIOTA,318
Miss Valquiria,20009,PSC,317
Ricardo Lima,50850,PSOL,317
Cris Mendes,43222,PV,315
José Luiz,55010,PSD,314
Duarte,14064,PTB,314
Ximenes Junior,45013,PSDB,313
Nego Einstein,14210,PTB,312
Wander,40010,PSB,311
Elo Lima,43017,PV,310
Léo Lemos,22589,PL,309
Pastor Manoel,15008,MDB,307
Graça Ferrari,11100,PP,307
Renata Mello Pokas,19172,PODE,307
José Vasconcelos,40200,PSB,307
Nildo Silvestre Diversos,40044,PSB,306
Antonio Avelino,13159,PT,304
Augusto Nunes,55177,PSD,303
Popó Do Cemitério,55990,PSD,302
Ângela Rodrigues,13378,PT,301
Norberto Vila Ema,14520,PTB,300
Adriano Messias,11101,PP,300
Dra Laura Gasbarro,40789,PSB,300
Linda Basilio,55513,PSD,298
Zulu,15909,MDB,296
Orlando Moreira,20201,PSC,296
Comandante Valadão,20007,PSC,295
Danylo Neves,45789,PSDB,295
Galdino,55866,PSD,294
Jorge Monteiro,15551,MDB,294
Dr Levi Serra,20211,PSC,294
Promotor Gui,45984,PSDB,294
Elza Martins,40144,PSB,293
Andréa De Heliópolis,14013,PTB,290
Rogério De Jesus,45312,PSDB,288
Augusto Marsiglia,51115,PATRIOTA,288
Gislaine Lambert,55120,PSD,286
Beto Siqueira,20192,PSC,285
Izamar,13227,PT,285
Genival Calixto,50010,PSOL,283
Bruno Theophilo,43333,PV,283
Vand,13120,PT,282
Kelly Estefano,11511,PP,281
Eliane Kanayama,22400,PL,280
Arthur Mascarenhas,17667,PSL,280
Dra Stela Maris,10888,REPUBLICANOS,279
Luan Sousa,43190,PV,278
Dra Ivone Ribeiro,10033,REPUBLICANOS,277
Dra Marly Lamarca,14144,PTB,276
Dr Elmo Davila,40009,PSB,276
Luciana Maria,22741,PL,276
Sonia Lima,20133,PSC,275
Regina Salles,20044,PSC,274
Marcos Evangelista,20339,PSC,273
Patricia Gomes,15001,MDB,273
Marcio Entregador,51789,PATRIOTA,270
Elton Santos,50007,PSOL,269
Fabiano Ramalho,50100,PSOL,267
Kleber Kibe,22198,PL,267
Bruno Cypriano Rinco,40401,PSB,265
Diego Varjão,13017,PT,264
Geraldo Pacheco,11131,PP,261
Fábio B Júnior,51909,PATRIOTA,261
Manoel Silva,55577,PSD,260
Brenner,13137,PT,260
Doutora Sandra Ojeda,22102,PL,259
Noemia Fonseca,17890,PSL,256
Santana,51020,PATRIOTA,256
Gustavo Pontes,45545,PSDB,255
Luiza De Guaianases,40179,PSB,254
Zerildo,45441,PSDB,254
Euri Ferreira,43230,PV,252
Rosangela Luz,17770,PSL,251
Tião Nicomedes,13455,PT,250
Douglas Barra,55647,PSD,250
Benicio Cunha,15145,MDB,246
Karla Juliane,15180,MDB,246
Solange Brito,14633,PTB,245
Rosangela,15567,MDB,245
Edu Da Luz,51360,PATRIOTA,245
Eliana Fazanni,55133,PSD,244
Mestre Paulo,20018,PSC,243
Nec Campos,13269,PT,243
Gilson Libório,17456,PSL,242
Evelyn Chavez,25591,DEM,242
Nancy Ortiz,10027,REPUBLICANOS,241
Nanci Da Moradia,10510,REPUBLICANOS,239
Silvia Marques,15700,MDB,238
Ricardo Pit,13016,PT,238
Janaina Xavier,13688,PT,238
Engenheiro Maykon Barros,22119,PL,236
Felipe Teixeira,45175,PSDB,235
Roberto Corretor,22300,PL,235
Sara Prota,22412,PL,235
Neuza,17033,PSL,234
Ivone Gressens,17717,PSL,234
Minervino Dos Pets,14150,PTB,233
Carol Mantovani,15004,MDB,233
Alessandra Lobinha,22373,PL,232
Henrique Aguiar,10018,REPUBLICANOS,231
Dailas Rodrigues,17936,PSL,231
Roseli Corretora,40777,PSB,230
Sil Meire,19050,PODE,230
Dr. Alexandre,45018,PSDB,230
Del Carmem,55223,PSD,229
Bruno Assunção,55085,PSD,228
Aurelia Cinaqui,20033,PSC,226
Roberto Pozzi Duda,40013,PSB,224
Deldi Teixeira,20600,PSC,222
Marco Hebrom,55258,PSD,222
Tathiana Freire Nunes,43043,PV,222
Valdemar Rosendo,22227,PL,221
Lucilete,13231,PT,221
Binho ,15415,MDB,221
Andrea Nakassu,17225,PSL,221
Martha Campos,43132,PV,220
Leonardo Clementino,40999,PSB,220
Natanael,50012,PSOL,220
Cabo Edjane,14789,PTB,220
Tchê,51313,PATRIOTA,220
Pastora Vanessa Cezar,14100,PTB,219
Jonas Marcelino,40055,PSB,218
Moisés De Santana Pil,22192,PL,217
Fernando Sousani,50222,PSOL,217
Zurah Ortiz,14114,PTB,216
Aline Moura,20987,PSC,216
Fernando Abreu,45021,PSDB,215
Pedala Robinho,15678,MDB,213
Allan Brito,13025,PT,213
Valter Lima,43070,PV,212
Professor Alexandre,45008,PSDB,212
Alexandre Xan,14020,PTB,212
Edney Vassalo,55020,PSD,211
Jorge Varelas,51450,PATRIOTA,211
Pastora Rose,15789,MDB,210
Jurandir Marques,43700,PV,210
Uilian Pneuspontocom,14300,PTB,208
Doutor Emidio,15135,MDB,207
Apóstolo Roberto,43234,PV,207
Leninha,20021,PSC,207
Francisco Papaiano,22033,PL,207
Clarice Barbosa,55656,PSD,204
Elizabete Soares,40330,PSB,204
Clovis Cunha,14005,PTB,203
Augusto Gonzales,45452,PSDB,203
Bella Oyaa,22003,PL,203
Fabio Costa,55505,PSD,202
Pascoal Leal,43567,PV,201
Maria Schuck,20380,PSC,201
Vilma Martins,10277,REPUBLICANOS,201
Cachorro Caramelo,51888,PATRIOTA,201
Chuks Iloegbunam,45191,PSDB,200
Paulo Yasser,11030,PP,200
Professor Munhoz,20360,PSC,200
Elisson Araujo,20230,PSC,200
Silas Miguel,45137,PSDB,199
Félix Pereira,22263,PL,198
Rowilson,14141,PTB,198
Maestro Alex,11110,PP,197
Mario Neves,45002,PSDB,194
Leka Motta,17330,PSL,194
David Alexander,20148,PSC,194
Sandra Porto,55167,PSD,193
Bombeiro Moro,17193,PSL,193
Tio Lauro,22334,PL,192
Dra Elizabeth Galvão,43500,PV,192
Rute Malka,45300,PSDB,192
Tide Cowboy,14511,PTB,191
Dgguirra,45707,PSDB,189
Gil Candido,13654,PT,188
Gilson Teixeira,40012,PSB,187
Professora Jandira,25748,DEM,186
Capitao Eiji Santana,20120,PSC,186
Natã Costa,51050,PATRIOTA,186
Elisangela Torres,40141,PSB,185
Marcelo Taz,43072,PV,185
Kaçula,43121,PV,185
Pastor Cássio,22775,PL,184
Elvio Fernandez,20999,PSC,183
Esmeria Aquino,15020,MDB,183
Marcosnorthcoast,13010,PT,183
Simone Santos,19355,PODE,182
Cintia Beltrame,15515,MDB,181
Tavolari,25125,DEM,180
Gil Santos,13236,PT,180
Maria Marinho,55269,PSD,179
Susan Biselli,11033,PP,179
Fabiane Marques,22700,PL,179
Rogério Souza,43250,PV,178
João Joaquim Dos Santos,14112,PTB,176
Pastor Claudevan,55728,PSD,176
Leandro Morais,45713,PSDB,176
Nailson Ferreira,43331,PV,175
Carlos André,22262,PL,175
Lavoura,43332,PV,174
Reinaldo Carrera,14714,PTB,174
Angela Teles,17405,PSL,174
Marcia Valeria,20477,PSC,174
Dilma Teixeira,10220,REPUBLICANOS,173
Crisão Da Periferia,22137,PL,172
Fabricio Brasil,14123,PTB,171
Marcelo Amadio,14101,PTB,170
Amanda Marchesoni,14999,PTB,169
Celda Nice,13733,PT,168
Agustin Carballo,20010,PSC,166
Kaká Silva,43800,PV,165
Cicera Maria,13018,PT,165
Maria Léo Maia,55015,PSD,164
Anderson Camargo,51950,PATRIOTA,164
Gih Santana,11999,PP,162
Valeria Itri,20903,PSC,161
Mary,13976,PT,161
Solange Paula,10124,REPUBLICANOS,161
Neilo Siqueira,20030,PSC,160
Marcos Medeiros,13601,PT,160
Arthur Russo,45253,PSDB,159
Bel Oliveira,45108,PSDB,158
Ailton Simões,43144,PV,157
Andréa Santos,25035,DEM,156
Beth Almeida,20738,PSC,155
Iara Gusmão,14088,PTB,153
Michael Santos,14613,PTB,153
Creusa Vieira,19610,PODE,151
Lia Xavier,25060,DEM,151
Roberval Panzer,11001,PP,151
Francisco José,55125,PSD,149
Shirley Damascena,25180,DEM,148
Wenderson,15165,MDB,145
Rodrigo S Gonzales,22011,PL,145
Genival Zelador,15185,MDB,144
Daniel Cordeiro,55329,PSD,143
Marcela Itokazu,11128,PP,142
Luis Vallejo,51911,PATRIOTA,141
Samuel Guimarães,45232,PSDB,141
Fernando Foratto,15030,MDB,140
Prof Jorge,13007,PT,139
Marcia Procópio,45973,PSDB,139
Ialon Souza,22470,PL,139
Prof Vania Tadeu,14029,PTB,138
Arão Gonzaga,55532,PSD,138
Sandrinha,45900,PSDB,138
Vô Edilson,40135,PSB,137
Dias Motoca,51752,PATRIOTA,136
Bill Melo,45006,PSDB,136
Jacinta Bezerra,11012,PP,135
Luciana Steagall,19188,PODE,135
Ricardo Vieira,43969,PV,133
Glorya Ryos,20789,PSC,131
Marcia Bueno,14056,PTB,131
Flor Pinheiro,40021,PSB,130
Sergio Cury,51359,PATRIOTA,129
Ricco Santorello,10007,REPUBLICANOS,129
Leticia Taccola,15775,MDB,129
Patolino,43558,PV,128
de Paula,43943,PV,127
William Sos,15192,MDB,127
Ivana Ribeiro,11107,PP,126
Paulo Pilla,15009,MDB,126
Zebrão,14030,PTB,125
Henrique Outeda,55012,PSD,125
Vinicius Matarazzo,11312,PP,125
Luciana Mansor,17473,PSL,123
Angelica Hadi,14002,PTB,123
Tia Dilcéia,43934,PV,122
Paula Lima,55828,PSD,120
Maria Joseilda,20117,PSC,119
Doutor Adilson Medeiros,20338,PSC,118
Letícia Brasil,45722,PSDB,118
Nair Alves,45510,PSDB,117
Nilo Lima,22747,PL,117
Penteado,22111,PL,117
Valter Simioni,45022,PSDB,116
José Claudio Lima,45193,PSDB,115
André Barbosa,45826,PSDB,111
Marco Vegano,15011,MDB,110
Zazá,13420,PT,110
Chico Pansiga,55300,PSD,109
Jucymara Rangel,22340,PL,108
Carô,50736,PSOL,106
Denise Assunção,13003,PT,105
Ineuva Gine,40152,PSB,103
Dilton Alves Lulinha,13185,PT,103
Luiz Matias,22236,PL,103
Lucila Caldas,55255,PSD,102
Edinaldo Bora,40195,PSB,102
Professor Nilson Zimantas,43177,PV,102
Vovó Equilibrista,15152,MDB,101
Jamilzinho Comunidade,40236,PSB,101
Graça Macedo,14007,PTB,101
Tenente Ferreira Neto,17556,PSL,101
Jorge Matos,11234,PP,100
Eli Santos,20551,PSC,100
Luizinho Da Cultura,40643,PSB,99
Douglas Wilson,10369,REPUBLICANOS,99
Nilton Vidal,20014,PSC,98
Prô Majô,51088,PATRIOTA,98
João Batista,45665,PSDB,98
Tiago MotoBoy,43343,PV,97
Talita Oliveira,55911,PSD,97
Thays Da Nóbrega,51015,PATRIOTA,97
Sonia Ribeiro,51097,PATRIOTA,97
Tata,40987,PSB,96
Solange Pedro,17148,PSL,95
Meu Jovem,15451,MDB,94
Miriam De Souza,55066,PSD,93
Marcos Alimari,15770,MDB,93
Samantha Dias,43041,PV,92
Dr João Antonio,14377,PTB,91
Norlay Costa,50955,PSOL,91
Sara,40224,PSB,90
Silvania Pinheiro,14044,PTB,88
Agente Jota,20707,PSC,88
Engenheiro Barudi,14970,PTB,87
Antonia,43003,PV,87
Carlos Ferreira,50450,PSOL,85
Paolillo,22228,PL,83
Maria Alice,15002,MDB,83
Martha Leitão,40005,PSB,83
Rógerio Ponciano,13178,PT,82
Prof Sonia Maria,10188,REPUBLICANOS,80
Ivete Souza,22057,PL,79
Diel Mita,43321,PV,76
Diogo Coriolano,13183,PT,74
Benoni Moura,22223,PL,72
Sonia Guerreiro,20944,PSC,71
Cristiane Trigueiro,15615,MDB,69
Zenaide Da Silva Araujo,22415,PL,65
Wilson Ferreira,40880,PSB,65
Elô Fulniô,43040,PV,63
Roberto Mota,11674,PP,61
Katia Machado,14580,PTB,61
Edi Gomes,22268,PL,60
Elenir,17618,PSL,56
Alex Guara,14312,PTB,54
Lucas Cavalcante,14280,PTB,53
Juliana Valentim,14234,PTB,52
Maria Emília,22218,PL,50
Odalia Da Conceição Alcantara,15149,MDB,49
Danilo Santos,43789,PV,49
Malu Silva,17039,PSL,48
Sandey,13822,PT,46
Míster Morgan,43766,PV,45
Bru Potame,22126,PL,45
Demian Feldman,43143,PV,44
Gerson Luis,22499,PL,44
Edy Martins,10728,REPUBLICANOS,43
Mirian Pereira,20400,PSC,41
Maria Oneida,13374,PT,40
Cristiane Araújo,13433,PT,38
Iranildo,14160,PTB,33
Graça Dias,22552,PL,33
André Falcon,43290,PV,31
Professor Luciano,20564,PSC,30
Mateus Esperança Pam Pam,43660,PV,29
João Leite,22481,PL,28
Ester Silva,43345,PV,27
Antoninha,22280,PL,23
Rosangela Rosa,17428,PSL,22
Janete,43044,PV,21
Reinaldo Skal Tixirica,43199,PV,17
Ela,10830,REPUBLICANOS,14
Prof Eliseu Timotheo,14075,PTB,11
Rosário De Fátima,22909,PL,9
Guima,43034,PV,8
Edson Salomão,28321,PRTB,20309
Dr Sidney Cruz,77002,SOLIDARIEDADE,17899
Claudio Fonseca,23000,CIDADANIA,15219
Soninha Francine,23023,CIDADANIA,13338
Bruno Zambelli,28800,PRTB,12302
Marina Bragante,18333,REDE,9710
Malu Molina,23333,CIDADANIA,8093
Prof Adriana Vasconcellos,65100,PC DO B,7961
Prof Marcelo Nascimento,12345,PDT,7706
Carina Da Bancada Feminista,65180,PC DO B,7272
Rodolfo Oliveira Ganem,70100,AVANTE,6803
Claudio Freitas,77999,SOLIDARIEDADE,6488
Laine Daniel,77222,SOLIDARIEDADE,5894
Clau De Luca,28120,PRTB,5793
André Negão,40333,PSB,5387
Sargento Alexandre,70333,AVANTE,5144
Medeiro É Trabalho,77123,SOLIDARIEDADE,5095
Rodrigo Da Bancada Trabalhista,65888,PC DO B,5021
Flávia Bellaguarda,18011,REDE,4869
Raquel Marques,18000,REDE,4704
Tom Da Lotação,70027,AVANTE,4467
Protetor Eduardo Roz,90000,PROS,4376
Vinícius Lima,18180,REDE,4370
Lia Esperança,18111,REDE,4070
Pedro Melo,23500,CIDADANIA,4066
Thays Martinez,23123,CIDADANIA,3809
Wesley Periferia Ativa Búfalos,12777,PDT,3698
Jacky Maluco,17999,PSL,3494
Barbara Panseri,12123,PDT,3477
Itamar Oliveira,70777,AVANTE,3256
Ligia Mendes,80000,UP,3220
Mariana Moura,65300,PC DO B,3073
Bombeiro Queiroz,77777,SOLIDARIEDADE,3064
Batata,90033,PROS,3014
Ivanete Colega,77500,SOLIDARIEDADE,2999
Fátima Magalhães,70355,AVANTE,2928
Professor Ozeias,35000,PMB,2841
Rogerio Sena,70000,AVANTE,2784
Tami Fakih,18030,REDE,2734
Patricia Zanella,18888,REDE,2668
Marcio Coriere,36000,PTC,2575
Gabriel Cassiano,12000,PDT,2393
Thabata Ganga,12321,PDT,2375
Joao Francisco,77789,SOLIDARIEDADE,2364
Fernanda Gomes,18800,REDE,2256
Camila Aguiar,65613,PC DO B,2218
Anderson Severiano,18500,REDE,2171
Capitão Gabriel Mazzali,51222,PATRIOTA,2124
Geraldo Nunes,77425,SOLIDARIEDADE,2066
Marcelo Da Saúde,33300,PMN,2055
Edson Passaro,65700,PC DO B,2024
Rabino Ventura,23613,CIDADANIA,1949
Maria Helena,17622,PSL,1938
Apostolo Evandro Leal,77010,SOLIDARIEDADE,1926
Rozina De Jesus,65123,PC DO B,1920
Cris Godoy,28028,PRTB,1879
Keila Pereira,65400,PC DO B,1772
Professor José Valdene,65666,PC DO B,1765
Arnaldo Bispo Advogado Do Povo,65500,PC DO B,1752
Roberio Benedito,35100,PMB,1728
Todd,12121,PDT,1721
Angela Barbosa,77333,SOLIDARIEDADE,1710
Daniela Silveira,23456,CIDADANIA,1706
Gilmar Curtolo,77277,SOLIDARIEDADE,1667
Igor Da Juventude Trabalhadora,21021,PCB,1654
Tonhão,65050,PC DO B,1577
Lígia Jalantonio,18191,REDE,1538
Jesus Da Periferia,12223,PDT,1533
Paulo Pequeno,77011,SOLIDARIEDADE,1487
Catarina Jesus,23777,CIDADANIA,1471
Claudinho De Oliveira,12007,PDT,1462
Marta Lucas,65065,PC DO B,1449
Projacque Prof Jacqueline,18222,REDE,1366
Rodrigo Cebola,77015,SOLIDARIEDADE,1361
Thiago De Macedo,43050,PV,1361
Leticia Gabriella,12020,PDT,1341
Tim Maia Do Prima,70778,AVANTE,1337
Fernando Moura,12140,PDT,1334
Betão Do Lava Rápido,90007,PROS,1330
José Dilson,40246,PSB,1326
Luis Flavio File,70022,AVANTE,1308
Severo Do Ks,70123,AVANTE,1306
Adriana Silva,23222,CIDADANIA,1268
Engenheiro Jorge Kalenderian,28000,PRTB,1244
Paulo Calado,70789,AVANTE,1226
Donizete,70132,AVANTE,1218
Professora Flávia,16300,PSTU,1215
Benê Do Auto Popular,77555,SOLIDARIEDADE,1214
Xandão Do Povo,23145,CIDADANIA,1191
Fernanda Torres,90100,PROS,1151
Gamby O Guerreiro,35012,PMB,1147
Cabo Alves,51190,PATRIOTA,1138
Professora Simone Rego,65135,PC DO B,1123
Dr Rogério Tabet,70033,AVANTE,1098
Nezinho Nunes Reco,77737,SOLIDARIEDADE,1091
Thiago Praxedes,65007,PC DO B,1086
Tony Signoreti,77207,SOLIDARIEDADE,1085
Rafael Labiapari,28100,PRTB,1077
Celso Rocha,36156,PTC,1075
Genildo Castro,35105,PMB,1055
Selma Dantas,36733,PTC,1054
Bebe Vem Ai,65250,PC DO B,1035
Elielson Produções,65003,PC DO B,1033
Coronel Djalma,28928,PRTB,1027
Lia Silva Bancada Social,65655,PC DO B,1022
Alemão,15369,MDB,1012
Jorjão,90222,PROS,1011
Edu Massambani,36500,PTC,1004
Tarcísio Alves,70110,AVANTE,979
Delvam Batista,27012,DC,972
Professor Deusiney,18321,REDE,971
Christy Bancada Poder Popular,21121,PCB,970
Coronel Bortoletto,17001,PSL,956
Geraldo Geraldinho,33222,PMN,952
Rafael Shouz,12011,PDT,948
Roberto Silva,70577,AVANTE,931
Emerson Fecundini,77733,SOLIDARIEDADE,930
Toninho Da Ambulância,70222,AVANTE,925
Cabo Maximo,70111,AVANTE,920
Miro Mecânico,28173,PRTB,915
Mariana Lacerda,18018,REDE,910
Platon,28009,PRTB,905
Kele Cristina,65456,PC DO B,900
Cabo Andréa Affonso,90190,PROS,893
Otacilio Ribeiro,65010,PC DO B,892
Flavio Beall,28400,PRTB,889
Olavo Do Liberta,90300,PROS,889
Jonathan Oliveira,65965,PC DO B,889
Regina Matos,77770,SOLIDARIEDADE,868
Samuel Oliveira,65777,PC DO B,864
Vagner Franchi,18700,REDE,862
Dr Edson Monteiro,27188,DC,860
Rosevaldo Da Mobilidade,70081,AVANTE,859
Isis Mustafa,80800,UP,859
Onofre Gonçalves,65651,PC DO B,846
Nenem,90123,PROS,827
Dr. Andrey Blanco C A C,36556,PTC,817
